Date & Time,Carbon Dioxide (PPM),Carbon Monoxide (PPM),Nitrogen Dioxide (PPM),Temperature (Deg C),Humidity (%RH),Barometric Pressure (mb),Relative Pressure (mb)
22/06/2018 - 17:39,329,0.530,32.220,33.690,47.230,903.770,1103.800
22/06/2018 - 17:40,337,0.570,32.610,33.710,47.090,903.770,1103.810
22/06/2018 - 17:40,296,0.650,36.110,33.720,47.050,903.730,1103.750
22/06/2018 - 17:41,314,0.530,35.470,33.770,46.990,903.820,1103.870
22/06/2018 - 17:41,330,0.180,36.990,33.750,46.850,903.790,1103.830
22/06/2018 - 17:42,347,0.670,35.910,33.750,46.780,903.770,1103.810
22/06/2018 - 17:42,347,0.590,37.090,33.750,46.750,903.780,1103.820
22/06/2018 - 17:43,343,0.570,40.750,33.750,46.780,903.790,1103.830
22/06/2018 - 17:43,339,0.150,30.880,33.750,46.780,903.810,1103.850
22/06/2018 - 17:44,351,0.450,31.900,33.760,46.720,903.790,1103.830
22/06/2018 - 17:44,346,0.590,35.900,33.750,46.650,903.750,1103.780
22/06/2018 - 17:45,348,0.560,33.540,33.710,46.750,903.830,1103.880
22/06/2018 - 17:45,342,0.160,33.630,33.720,46.780,903.900,1103.960
22/06/2018 - 17:46,330,0.530,33.900,33.700,46.850,903.870,1103.930
22/06/2018 - 17:46,343,0.570,33.580,33.720,46.890,903.850,1103.910
22/06/2018 - 17:47,348,0.540,34.670,33.800,46.720,903.890,1103.960
22/06/2018 - 17:47,343,0.550,32.760,33.800,46.750,903.830,1103.880
22/06/2018 - 17:48,342,0.150,32.420,33.750,46.890,903.860,1103.910
22/06/2018 - 17:48,346,0.600,32.590,33.730,46.850,903.800,1103.840
22/06/2018 - 17:49,363,0.600,63.560,33.740,46.750,903.850,1103.900
22/06/2018 - 17:49,352,0.790,36.660,33.770,46.680,903.800,1103.840
22/06/2018 - 17:50,347,0.520,40.200,33.710,45.930,903.870,1103.930
22/06/2018 - 17:51,353,0.600,36.450,33.790,45.830,903.890,1103.950
22/06/2018 - 17:51,354,0.580,33.430,33.780,46.030,903.850,1103.900
22/06/2018 - 17:52,359,0.630,34.300,33.790,46.170,903.820,1103.870
22/06/2018 - 17:52,354,0.570,36.290,33.730,46.270,903.890,1103.950
22/06/2018 - 17:53,352,0.620,37.180,33.790,46.270,903.820,1103.870
22/06/2018 - 17:53,366,0.610,36.330,33.780,46.340,903.830,1103.880
22/06/2018 - 17:54,373,0.600,39.330,33.800,46.270,903.790,1103.830
22/06/2018 - 17:54,369,0.610,36.630,33.770,46.210,903.790,1103.830
22/06/2018 - 17:55,371,0.170,38.850,33.780,46.170,903.790,1103.830
22/06/2018 - 17:55,313,0.590,33.920,33.750,46.140,903.750,1103.790
22/06/2018 - 17:56,340,0.680,38.830,33.770,46.070,903.790,1103.830
22/06/2018 - 17:56,346,0.740,36.010,33.790,46.100,903.780,1103.820
22/06/2018 - 17:57,348,0.210,36.870,33.790,46.140,903.830,1103.880
22/06/2018 - 17:57,355,0.680,34.660,33.800,46.170,903.790,1103.830
22/06/2018 - 17:58,323,0.770,39.030,33.770,46.240,903.770,1103.810
22/06/2018 - 17:58,328,0.770,31.510,33.770,46.340,903.820,1103.860
22/06/2018 - 17:59,348,0.710,31.600,33.750,46.410,903.800,1103.840
22/06/2018 - 17:59,358,0.690,31.700,33.770,46.440,903.870,1103.920
22/06/2018 - 18:00,349,0.640,34.920,33.750,46.540,903.850,1103.900
22/06/2018 - 18:00,346,0.640,31.830,33.750,46.610,903.810,1103.850
22/06/2018 - 18:01,344,0.660,34.030,33.760,46.650,903.810,1103.860
22/06/2018 - 18:01,351,0.630,32.810,33.790,46.610,903.830,1103.870
22/06/2018 - 18:02,358,0.600,40.210,33.790,46.540,903.870,1103.930
22/06/2018 - 18:02,356,0.650,35.210,33.790,46.410,903.810,1103.860
22/06/2018 - 18:03,352,0.590,35.250,33.820,46.340,903.820,1103.860
22/06/2018 - 18:03,349,0.350,33.670,33.810,46.270,903.860,1103.920
22/06/2018 - 18:04,358,0.190,30.170,33.800,46.270,903.880,1103.940
22/06/2018 - 18:04,356,0.660,33.920,33.800,46.240,903.890,1103.960
22/06/2018 - 18:05,352,0.720,33.720,33.810,46.210,903.900,1103.960
22/06/2018 - 18:05,352,0.170,30.100,33.840,46.190,903.940,1104.010
22/06/2018 - 18:06,346,0.190,30.470,33.840,46.030,903.960,1104.030
22/06/2018 - 18:06,353,0.590,30.930,33.840,45.960,903.930,1104.000
22/06/2018 - 18:07,360,0.530,31.710,33.830,45.830,904.000,1104.090
22/06/2018 - 18:07,341,0.530,31.050,33.790,45.730,903.920,1103.990
22/06/2018 - 18:08,342,0.540,33.620,33.780,45.760,903.940,1104.020
22/06/2018 - 18:08,342,0.650,34.230,33.780,45.830,903.910,1103.980
22/06/2018 - 18:09,350,0.540,36.520,33.790,45.590,903.940,1104.010
22/06/2018 - 18:09,348,0.510,34.440,33.780,45.080,903.940,1104.020
22/06/2018 - 18:10,349,0.500,36.770,33.760,44.600,903.990,1104.080
