Date & Time,Carbon Dioxide (PPM),Carbon Monoxide (PPM),Nitrogen Dioxide (PPM),Temperature (Deg C),Humidity (%RH),Barometric Pressure (mb),Relative Pressure (mb)
25/06/2018 - 11:55,219,1.280,62.580,35.760,41.400,906.250,1106.840
25/06/2018 - 11:56,176,1.230,62.580,35.890,41.010,906.300,1106.900
25/06/2018 - 11:56,353,1.210,62.530,36.130,40.550,906.250,1106.840
25/06/2018 - 11:57,246,1.190,62.640,36.170,40.240,906.280,1106.870
25/06/2018 - 11:57,348,1.180,62.690,36.220,40.100,906.280,1106.870
25/06/2018 - 11:58,281,1.190,62.620,36.260,40.060,906.260,1106.850
25/06/2018 - 11:58,227,1.240,62.570,36.340,40.060,906.320,1106.920
25/06/2018 - 11:59,286,1.220,62.490,36.320,40.230,906.280,1106.880
25/06/2018 - 11:59,253,1.230,62.480,36.340,40.200,906.310,1106.910
25/06/2018 - 12:00,264,1.200,62.450,36.460,40.040,906.270,1106.850
25/06/2018 - 12:01,274,1.220,62.350,36.310,40.170,906.400,1107.020
25/06/2018 - 12:01,291,1.310,62.330,36.090,40.430,906.380,1107.000
25/06/2018 - 12:02,307,1.380,62.380,36.000,40.680,906.360,1106.970
25/06/2018 - 12:02,282,1.360,62.480,36.080,40.880,906.380,1107.000
25/06/2018 - 12:02,316,1.250,62.470,36.250,40.830,906.370,1106.980
25/06/2018 - 12:03,319,1.200,62.400,36.240,40.610,906.380,1106.990
25/06/2018 - 12:03,210,1.200,62.370,36.280,40.400,906.360,1106.960
25/06/2018 - 12:04,312,1.190,62.330,36.130,40.450,906.410,1107.030
25/06/2018 - 12:04,304,1.200,62.310,36.230,40.540,906.330,1106.940
25/06/2018 - 12:05,330,1.200,62.320,36.410,40.260,906.370,1106.980
25/06/2018 - 12:05,241,1.220,62.300,36.140,40.350,906.400,1107.020
25/06/2018 - 12:06,322,1.220,62.300,36.280,40.330,906.410,1107.030
25/06/2018 - 12:06,296,1.190,62.320,36.360,40.100,906.370,1106.980
25/06/2018 - 12:07,376,1.220,62.300,36.170,40.310,906.360,1106.970
25/06/2018 - 12:07,248,1.200,62.270,36.300,40.310,906.440,1107.070
25/06/2018 - 12:08,225,1.180,62.290,36.170,40.280,906.340,1106.950
25/06/2018 - 12:09,315,1.180,62.290,36.040,40.500,906.360,1106.960
25/06/2018 - 12:09,303,1.190,62.270,36.060,40.620,906.360,1106.970
25/06/2018 - 12:10,258,1.170,62.260,35.990,40.530,906.350,1106.960
25/06/2018 - 12:10,364,1.160,62.230,36.130,40.530,906.330,1106.940
25/06/2018 - 12:11,276,1.240,62.430,34.830,41.950,906.330,1106.930
25/06/2018 - 12:11,286,1.210,62.530,35.100,42.450,906.380,1106.990
25/06/2018 - 12:12,301,1.220,62.500,35.010,42.410,906.370,1106.980
25/06/2018 - 12:12,252,1.200,62.530,35.300,42.330,906.390,1107.010
25/06/2018 - 12:13,342,1.240,62.550,35.580,41.970,906.380,1107.000
25/06/2018 - 12:13,279,1.210,62.530,35.660,41.760,906.380,1106.990
25/06/2018 - 12:14,293,1.220,62.480,35.770,41.580,906.330,1106.930
25/06/2018 - 12:14,226,1.200,62.470,35.930,41.230,906.360,1106.970
25/06/2018 - 12:15,241,1.160,62.450,35.650,41.270,906.310,1106.910
25/06/2018 - 12:15,314,1.350,62.650,35.230,41.960,906.250,1106.830
25/06/2018 - 12:16,257,1.300,62.770,34.980,42.340,906.320,1106.930
25/06/2018 - 12:16,269,1.350,62.820,35.260,42.500,906.340,1106.940
25/06/2018 - 12:17,335,1.340,62.820,35.550,42.410,906.280,1106.880
25/06/2018 - 12:17,345,1.320,62.840,35.210,42.540,906.280,1106.870
25/06/2018 - 12:18,333,1.320,62.860,34.960,42.940,906.290,1106.890
25/06/2018 - 12:18,286,1.370,62.860,35.280,43.020,906.300,1106.890
25/06/2018 - 12:19,341,1.250,62.840,35.400,42.770,906.220,1106.800
25/06/2018 - 12:19,289,1.260,62.760,35.490,42.420,906.270,1106.860
25/06/2018 - 12:20,245,1.280,62.700,35.430,42.230,906.230,1106.810
25/06/2018 - 12:21,264,1.340,62.750,35.370,42.190,906.210,1106.790
25/06/2018 - 12:21,318,1.320,62.750,35.660,41.900,906.190,1106.760
25/06/2018 - 12:22,324,1.300,62.720,35.820,41.580,906.240,1106.820
25/06/2018 - 12:22,242,1.320,62.710,35.730,41.580,906.180,1106.750
25/06/2018 - 12:23,297,1.340,62.690,35.830,41.370,906.170,1106.730
25/06/2018 - 12:23,343,1.300,62.660,35.860,41.470,906.190,1106.760
25/06/2018 - 12:24,341,1.370,62.680,35.990,41.290,906.190,1106.760
25/06/2018 - 12:24,242,1.380,62.700,36.070,41.240,906.170,1106.730
25/06/2018 - 12:25,215,1.280,62.650,36.100,41.130,906.140,1106.700
25/06/2018 - 12:25,239,1.250,62.600,35.950,41.260,906.110,1106.660
25/06/2018 - 12:26,292,1.260,62.540,36.060,41.450,906.060,1106.600
25/06/2018 - 12:27,205,1.230,62.550,35.660,41.400,906.080,1106.630
25/06/2018 - 12:27,269,1.360,62.650,36.020,41.390,906.010,1106.540
25/06/2018 - 12:28,266,1.360,62.700,35.950,41.290,906.010,1106.540
25/06/2018 - 12:28,273,1.260,62.690,36.080,41.200,905.940,1106.450
25/06/2018 - 12:29,280,1.250,62.640,35.970,41.220,905.980,1106.500
25/06/2018 - 12:29,285,1.240,62.590,35.960,41.290,905.960,1106.480
25/06/2018 - 12:30,238,1.220,62.540,36.090,41.120,905.990,1106.510
25/06/2018 - 12:30,248,1.210,62.530,35.660,41.480,905.940,1106.450
25/06/2018 - 12:31,262,1.410,62.630,35.010,42.150,905.920,1106.440
25/06/2018 - 12:31,226,1.360,62.740,35.370,42.230,905.960,1106.480
25/06/2018 - 12:32,297,1.330,62.730,35.730,41.910,905.990,1106.510
25/06/2018 - 12:32,311,1.380,62.720,35.890,41.700,906.040,1106.570
25/06/2018 - 12:33,266,1.260,62.700,35.820,41.580,906.040,1106.580
25/06/2018 - 12:33,257,1.240,62.650,35.950,41.330,905.970,1106.500
25/06/2018 - 12:34,283,1.240,62.610,35.910,41.260,905.990,1106.510
25/06/2018 - 12:34,288,1.210,62.610,35.750,41.250,906.050,1106.590
25/06/2018 - 12:35,294,1.210,62.600,35.900,41.330,906.010,1106.540
25/06/2018 - 12:35,307,1.200,62.550,35.980,41.160,905.950,1106.460
25/06/2018 - 12:36,264,1.250,62.580,35.860,41.060,905.940,1106.460
25/06/2018 - 12:36,285,1.240,62.570,36.020,40.940,905.920,1106.430
25/06/2018 - 12:37,237,1.190,62.550,35.650,41.210,905.930,1106.450
25/06/2018 - 12:37,248,1.270,62.550,35.520,41.990,905.900,1106.410
25/06/2018 - 12:38,253,1.260,62.670,35.690,41.900,905.860,1106.360
25/06/2018 - 12:38,244,1.200,62.710,34.770,42.350,905.870,1106.370
25/06/2018 - 12:39,261,1.280,62.710,35.160,42.820,905.890,1106.390
25/06/2018 - 12:39,298,1.260,62.770,34.970,42.720,905.890,1106.400
25/06/2018 - 12:40,302,1.360,62.880,35.190,42.720,905.800,1106.290
25/06/2018 - 12:41,312,1.340,62.870,35.490,42.220,905.740,1106.210
25/06/2018 - 12:41,329,1.350,62.870,35.740,41.760,905.830,1106.320
25/06/2018 - 12:42,284,1.280,62.820,35.970,41.200,905.790,1106.270
25/06/2018 - 12:42,298,1.300,62.780,35.960,40.980,905.730,1106.200
25/06/2018 - 12:43,288,1.330,62.770,36.040,40.790,905.690,1106.150
25/06/2018 - 12:43,337,1.280,62.720,36.230,40.650,905.730,1106.210
25/06/2018 - 12:44,313,1.260,62.630,36.120,40.720,905.720,1106.180
25/06/2018 - 12:44,314,1.230,62.590,35.970,40.710,905.680,1106.130
25/06/2018 - 12:45,297,1.230,62.550,36.090,40.780,905.700,1106.160
25/06/2018 - 12:45,345,1.280,62.530,35.390,41.070,905.740,1106.220
25/06/2018 - 12:46,298,1.280,62.740,35.540,41.350,905.780,1106.250
25/06/2018 - 12:46,278,1.240,62.780,35.630,41.250,905.700,1106.160
25/06/2018 - 12:47,294,1.240,62.740,35.620,41.250,905.750,1106.230
25/06/2018 - 12:47,309,1.260,62.770,35.400,41.230,905.760,1106.230
25/06/2018 - 12:48,306,1.280,62.710,34.900,41.750,905.690,1106.150
25/06/2018 - 12:48,301,1.190,62.750,34.850,41.840,905.660,1106.110
25/06/2018 - 12:49,298,1.300,62.800,34.990,42.000,905.720,1106.180
25/06/2018 - 12:49,283,1.370,62.820,35.320,41.920,905.740,1106.210
25/06/2018 - 12:50,290,1.330,62.810,35.700,41.580,905.670,1106.130
25/06/2018 - 12:50,292,1.320,62.780,35.880,41.230,905.700,1106.160
25/06/2018 - 12:51,240,1.320,62.750,36.070,40.880,905.720,1106.180
25/06/2018 - 12:51,249,1.270,62.720,36.010,40.710,905.670,1106.130
25/06/2018 - 12:52,268,1.210,62.670,35.910,40.370,905.600,1106.050
25/06/2018 - 12:52,232,1.220,62.600,35.950,40.130,905.590,1106.030
25/06/2018 - 12:53,234,1.220,62.560,35.830,40.130,905.670,1106.130
25/06/2018 - 12:53,226,1.200,62.520,35.640,40.560,905.630,1106.080
25/06/2018 - 12:54,264,1.240,62.490,35.820,40.770,905.690,1106.150
25/06/2018 - 12:54,276,1.320,62.480,35.900,40.910,905.610,1106.050
25/06/2018 - 12:55,312,1.260,62.530,35.730,40.920,905.710,1106.180
25/06/2018 - 12:55,295,1.290,62.520,36.020,40.740,905.700,1106.160
25/06/2018 - 12:56,284,1.250,62.510,36.120,40.310,905.650,1106.100
25/06/2018 - 12:56,292,1.240,62.490,36.100,39.980,905.670,1106.130
25/06/2018 - 12:57,303,1.320,62.500,36.060,40.120,905.600,1106.040
25/06/2018 - 12:57,298,1.260,62.580,36.030,40.020,905.640,1106.090
25/06/2018 - 12:58,303,1.270,62.590,35.870,40.230,905.630,1106.080
25/06/2018 - 12:58,311,1.270,62.640,36.010,40.290,905.590,1106.020
25/06/2018 - 12:59,298,1.260,62.670,35.590,41.000,905.570,1106.010
25/06/2018 - 12:59,290,1.230,62.630,35.940,40.670,905.600,1106.040
25/06/2018 - 13:00,293,1.240,62.600,36.140,40.380,905.560,1105.990
25/06/2018 - 13:00,283,1.190,62.590,35.870,40.420,905.500,1105.920
25/06/2018 - 13:01,292,1.200,62.580,35.810,40.580,905.440,1105.850
25/06/2018 - 13:01,275,1.240,62.600,35.670,40.460,905.560,1105.990
25/06/2018 - 13:02,297,1.210,62.590,35.770,40.340,905.450,1105.850
25/06/2018 - 13:02,278,1.220,62.540,35.940,40.100,905.540,1105.970
25/06/2018 - 13:03,280,1.250,62.510,36.070,40.090,905.530,1105.960
25/06/2018 - 13:03,224,1.230,62.480,36.210,39.850,905.500,1105.920
25/06/2018 - 13:04,357,1.210,62.440,36.380,39.580,905.430,1105.830
25/06/2018 - 13:04,346,1.230,62.430,36.340,39.620,905.520,1105.940
25/06/2018 - 13:05,314,1.250,62.420,36.430,39.510,905.430,1105.830
25/06/2018 - 13:05,319,1.210,62.490,36.340,39.430,905.470,1105.880
25/06/2018 - 13:06,317,1.240,62.600,36.430,39.480,905.480,1105.900
25/06/2018 - 13:06,313,1.230,62.620,36.460,39.300,905.410,1105.810
25/06/2018 - 13:07,319,1.240,62.590,36.480,39.390,905.440,1105.840
25/06/2018 - 13:07,240,1.250,62.550,36.480,39.430,905.440,1105.840
25/06/2018 - 13:08,278,1.210,62.520,36.430,39.490,905.350,1105.730
25/06/2018 - 13:08,235,1.220,62.530,36.380,39.230,905.440,1105.850
25/06/2018 - 13:09,271,1.240,62.480,36.680,39.040,905.410,1105.810
25/06/2018 - 13:10,283,1.280,62.500,36.620,39.140,905.360,1105.750
25/06/2018 - 13:10,300,1.310,62.530,36.650,39.080,905.390,1105.790
25/06/2018 - 13:11,292,1.300,62.570,36.670,39.040,905.350,1105.740
25/06/2018 - 13:11,293,1.260,62.640,36.040,39.180,905.310,1105.680
25/06/2018 - 13:12,289,1.310,62.690,36.080,39.200,905.360,1105.750
25/06/2018 - 13:12,290,1.290,62.790,35.730,39.880,905.290,1105.660
25/06/2018 - 13:13,288,1.310,62.790,36.060,39.810,905.270,1105.630
25/06/2018 - 13:13,282,1.320,62.760,36.240,39.680,905.240,1105.600
25/06/2018 - 13:14,278,1.360,62.820,36.270,39.580,905.240,1105.600
25/06/2018 - 13:14,295,1.340,62.820,36.550,39.290,905.230,1105.590
25/06/2018 - 13:15,288,1.340,62.790,36.700,39.100,905.190,1105.540
25/06/2018 - 13:15,295,1.290,62.740,36.650,38.900,905.210,1105.560
25/06/2018 - 13:16,297,1.300,62.700,36.830,38.880,905.240,1105.600
25/06/2018 - 13:16,286,1.260,62.670,36.810,38.780,905.190,1105.550
25/06/2018 - 13:17,289,1.240,62.610,36.640,38.940,905.280,1105.650
25/06/2018 - 13:17,286,1.280,62.600,36.220,39.890,905.320,1105.700
25/06/2018 - 13:18,290,1.340,62.640,35.580,40.150,905.180,1105.530
25/06/2018 - 13:18,294,1.270,62.620,36.100,39.940,905.250,1105.610
25/06/2018 - 13:19,291,1.250,62.640,36.430,39.440,905.230,1105.590
25/06/2018 - 13:19,283,1.250,62.640,36.540,39.260,905.220,1105.580
25/06/2018 - 13:20,293,1.220,62.600,36.610,39.050,905.170,1105.510
25/06/2018 - 13:20,274,1.230,62.570,36.560,39.140,905.260,1105.630
25/06/2018 - 13:21,281,1.230,62.560,36.620,39.040,905.210,1105.560
25/06/2018 - 13:21,272,1.250,62.520,36.470,39.010,905.300,1105.670
25/06/2018 - 13:22,275,1.240,62.490,36.620,39.040,905.200,1105.550
25/06/2018 - 13:22,278,1.240,62.480,36.790,38.780,905.270,1105.630
25/06/2018 - 13:23,276,1.320,62.430,36.740,38.690,905.210,1105.560
25/06/2018 - 13:23,306,1.290,62.420,36.770,38.680,905.220,1105.570
25/06/2018 - 13:24,306,1.250,62.480,36.630,38.620,905.230,1105.590
25/06/2018 - 13:24,308,1.260,62.460,36.620,38.830,905.220,1105.580
25/06/2018 - 13:25,303,1.310,62.450,36.680,38.740,905.180,1105.520
25/06/2018 - 13:25,297,1.280,62.450,36.640,38.930,905.220,1105.580
25/06/2018 - 13:26,294,1.240,62.460,36.770,38.720,905.260,1105.630
25/06/2018 - 13:26,282,1.250,62.510,36.470,38.940,905.240,1105.600
25/06/2018 - 13:27,289,1.220,62.560,36.290,39.140,905.240,1105.600
25/06/2018 - 13:27,282,1.280,62.620,36.200,39.620,905.260,1105.630
25/06/2018 - 13:28,277,1.260,62.670,36.450,39.360,905.190,1105.540
25/06/2018 - 13:28,292,1.240,62.670,36.030,39.490,905.210,1105.570
25/06/2018 - 13:29,305,1.240,62.660,36.410,39.480,905.180,1105.530
25/06/2018 - 13:30,298,1.230,62.620,36.270,39.680,905.080,1105.400
25/06/2018 - 13:30,299,1.230,62.560,36.290,39.690,905.170,1105.510
25/06/2018 - 13:30,303,1.290,62.500,36.400,39.840,905.190,1105.540
25/06/2018 - 13:31,291,1.270,62.470,36.420,39.770,905.200,1105.560
25/06/2018 - 13:31,294,1.320,62.460,36.560,39.590,905.100,1105.430
25/06/2018 - 13:32,291,1.280,62.470,36.700,39.270,905.150,1105.490
25/06/2018 - 13:32,280,1.210,62.480,36.560,39.000,905.100,1105.430
25/06/2018 - 13:33,273,1.250,62.530,36.070,38.980,905.140,1105.480
25/06/2018 - 13:33,250,1.280,62.590,35.460,39.500,905.150,1105.490
25/06/2018 - 13:34,272,1.200,62.670,35.270,39.710,905.120,1105.460
25/06/2018 - 13:34,273,1.280,62.770,35.050,39.860,905.030,1105.350
25/06/2018 - 13:35,283,1.280,62.860,35.590,39.810,905.100,1105.430
25/06/2018 - 13:36,290,1.290,62.830,36.050,39.500,905.070,1105.390
25/06/2018 - 13:36,291,1.280,62.780,36.330,39.030,905.050,1105.370
25/06/2018 - 13:37,264,1.280,62.750,36.380,38.930,905.090,1105.420
25/06/2018 - 13:37,268,1.270,62.790,35.870,39.310,905.160,1105.500
25/06/2018 - 13:38,287,1.270,62.890,35.230,39.620,905.090,1105.420
25/06/2018 - 13:38,287,1.350,62.910,35.010,39.610,905.090,1105.420
25/06/2018 - 13:39,284,1.320,62.980,35.090,40.050,905.060,1105.380
25/06/2018 - 13:39,294,1.330,62.960,35.500,39.990,905.040,1105.360
25/06/2018 - 13:40,295,1.410,62.940,35.880,39.630,905.010,1105.320
25/06/2018 - 13:40,290,1.390,62.970,35.790,39.330,904.990,1105.300
25/06/2018 - 13:41,305,1.370,62.970,36.040,39.200,904.950,1105.250
25/06/2018 - 13:41,311,1.360,62.920,36.140,38.880,904.920,1105.210
25/06/2018 - 13:42,305,1.370,62.970,35.620,39.020,905.010,1105.320
25/06/2018 - 13:42,312,1.290,62.990,34.590,39.600,904.980,1105.290
25/06/2018 - 13:43,304,1.290,62.980,35.410,39.830,904.960,1105.260
25/06/2018 - 13:43,299,1.210,62.960,35.240,39.580,904.910,1105.200
25/06/2018 - 13:44,301,1.260,62.950,35.110,40.190,904.920,1105.220
25/06/2018 - 13:44,308,1.260,62.930,35.050,40.190,904.940,1105.240
25/06/2018 - 13:45,297,1.280,62.920,35.420,40.120,904.890,1105.170
25/06/2018 - 13:45,292,1.350,62.920,35.630,39.970,904.900,1105.190
25/06/2018 - 13:46,288,1.310,62.910,35.960,39.430,904.950,1105.250
25/06/2018 - 13:46,290,1.310,62.860,36.130,38.940,904.910,1105.200
25/06/2018 - 13:47,293,1.260,62.820,36.200,38.560,904.920,1105.210
25/06/2018 - 13:47,289,1.260,62.760,36.340,38.170,904.890,1105.170
25/06/2018 - 13:48,302,1.270,62.730,36.420,37.900,904.890,1105.180
25/06/2018 - 13:48,293,1.250,62.710,36.350,37.830,904.940,1105.240
25/06/2018 - 13:49,298,1.300,62.670,36.450,37.690,904.890,1105.180
25/06/2018 - 13:49,298,1.260,62.670,36.210,38.000,904.960,1105.260
25/06/2018 - 13:50,302,1.240,62.670,36.330,37.720,904.900,1105.190
25/06/2018 - 13:51,281,1.250,62.650,36.670,37.110,904.950,1105.250
25/06/2018 - 13:51,286,1.220,62.640,36.200,37.110,904.960,1105.260
25/06/2018 - 13:52,301,1.240,62.780,35.500,37.560,904.900,1105.190
25/06/2018 - 13:52,311,1.280,62.800,35.880,37.620,904.910,1105.200
25/06/2018 - 13:53,296,1.280,62.780,36.300,37.240,904.790,1105.050
25/06/2018 - 13:53,306,1.320,62.880,36.100,37.240,904.860,1105.140
25/06/2018 - 13:54,313,1.300,62.890,35.890,37.290,904.920,1105.210
25/06/2018 - 13:54,321,1.310,62.900,36.130,37.250,904.960,1105.260
25/06/2018 - 13:55,306,1.260,62.890,36.100,37.300,904.870,1105.150
25/06/2018 - 13:55,296,1.300,62.850,36.120,37.330,904.920,1105.210
25/06/2018 - 13:56,299,1.280,62.860,36.400,37.110,904.830,1105.100
25/06/2018 - 13:56,312,1.300,62.840,36.470,36.950,904.860,1105.140
25/06/2018 - 13:57,310,1.290,62.840,36.200,37.420,904.910,1105.200
25/06/2018 - 13:57,313,1.300,62.810,36.380,37.720,904.890,1105.170
25/06/2018 - 13:58,314,1.280,62.800,36.450,37.520,904.890,1105.170
25/06/2018 - 13:58,304,1.310,62.840,36.290,37.450,904.840,1105.110
25/06/2018 - 13:59,300,1.310,62.830,36.550,37.330,904.880,1105.160
25/06/2018 - 14:00,298,1.300,62.830,36.230,37.460,904.810,1105.080
25/06/2018 - 14:00,305,1.240,62.810,36.050,37.340,904.800,1105.060
25/06/2018 - 14:01,289,1.240,62.770,36.270,37.270,904.820,1105.090
25/06/2018 - 14:01,295,1.240,62.810,35.650,37.740,904.900,1105.190
25/06/2018 - 14:02,302,1.250,62.900,35.450,37.900,904.810,1105.080
25/06/2018 - 14:02,308,1.270,62.930,35.590,37.940,904.870,1105.150
25/06/2018 - 14:03,306,1.270,62.980,35.860,37.980,904.860,1105.140
25/06/2018 - 14:03,297,1.280,62.930,36.080,37.580,904.810,1105.070
25/06/2018 - 14:04,306,1.280,62.890,36.120,37.270,904.870,1105.150
25/06/2018 - 14:05,311,1.270,62.890,36.300,37.170,904.730,1104.980
25/06/2018 - 14:05,316,1.280,62.850,36.390,36.970,904.730,1104.980
25/06/2018 - 14:06,327,1.270,62.880,35.990,36.950,904.770,1105.020
25/06/2018 - 14:06,321,1.280,62.870,35.720,37.630,904.700,1104.950
25/06/2018 - 14:07,316,1.300,62.890,36.080,37.600,904.690,1104.930
25/06/2018 - 14:07,320,1.350,62.890,36.210,37.460,904.740,1105.000
25/06/2018 - 14:08,323,1.350,62.900,36.360,37.380,904.760,1105.020
25/06/2018 - 14:08,302,1.250,62.850,35.920,37.500,904.640,1104.860
25/06/2018 - 14:09,301,1.220,62.810,35.500,37.610,904.610,1104.830
25/06/2018 - 14:09,295,1.240,62.780,35.700,37.900,904.700,1104.940
25/06/2018 - 14:10,306,1.240,62.760,35.720,38.060,904.630,1104.850
25/06/2018 - 14:10,308,1.280,62.740,35.790,38.080,904.680,1104.910
25/06/2018 - 14:11,304,1.240,62.740,35.440,38.130,904.690,1104.930
25/06/2018 - 14:11,304,1.340,62.740,35.800,38.140,904.710,1104.950
25/06/2018 - 14:12,300,1.360,62.860,34.700,38.910,904.670,1104.910
25/06/2018 - 14:12,308,1.230,62.960,34.820,39.130,904.630,1104.850
25/06/2018 - 14:13,298,1.340,63.030,34.730,39.720,904.710,1104.960
25/06/2018 - 14:13,292,1.310,63.070,34.680,40.010,904.670,1104.900
25/06/2018 - 14:14,292,1.330,63.070,34.430,40.330,904.720,1104.970
25/06/2018 - 14:14,300,1.340,63.060,34.770,40.450,904.670,1104.900
25/06/2018 - 14:15,304,1.330,63.050,34.930,40.520,904.670,1104.910
25/06/2018 - 14:15,316,1.270,63.000,35.060,40.330,904.620,1104.850
25/06/2018 - 14:16,309,1.300,62.950,35.450,39.780,904.660,1104.900
25/06/2018 - 14:16,311,1.330,62.900,35.790,39.210,904.690,1104.930
25/06/2018 - 14:17,315,1.280,62.870,35.990,38.820,904.720,1104.960
25/06/2018 - 14:17,312,1.260,62.840,35.840,38.660,904.660,1104.890
25/06/2018 - 14:18,304,1.280,62.850,36.130,38.440,904.690,1104.930
25/06/2018 - 14:18,302,1.240,62.820,36.220,38.010,904.650,1104.880
25/06/2018 - 14:19,310,1.220,62.770,35.860,37.620,904.720,1104.970
25/06/2018 - 14:19,303,1.250,62.700,36.190,37.570,904.620,1104.840
25/06/2018 - 14:20,300,1.250,62.660,36.400,37.380,904.580,1104.800
25/06/2018 - 14:20,304,1.240,62.630,36.500,37.270,904.630,1104.850
25/06/2018 - 14:21,296,1.250,62.610,36.580,37.140,904.590,1104.810
25/06/2018 - 14:21,286,1.260,62.570,36.580,37.130,904.660,1104.890
25/06/2018 - 14:22,292,1.270,62.540,36.690,37.010,904.610,1104.830
25/06/2018 - 14:22,290,1.240,62.560,36.480,37.170,904.600,1104.820
25/06/2018 - 14:23,286,1.220,62.540,36.340,37.590,904.600,1104.810
25/06/2018 - 14:23,287,1.260,62.550,36.620,37.590,904.560,1104.770
25/06/2018 - 14:24,290,1.220,62.600,36.040,37.560,904.570,1104.780
25/06/2018 - 14:24,304,1.430,62.830,36.020,38.120,904.650,1104.880
25/06/2018 - 14:25,313,1.350,62.910,35.720,38.490,904.630,1104.850
25/06/2018 - 14:25,314,1.390,62.930,36.270,38.450,904.560,1104.770
25/06/2018 - 14:26,307,1.370,62.940,36.430,38.170,904.550,1104.760
25/06/2018 - 14:26,305,1.330,62.910,36.480,37.930,904.600,1104.820
25/06/2018 - 14:27,297,1.300,62.910,36.330,37.850,904.560,1104.770
25/06/2018 - 14:27,288,1.320,62.870,36.480,37.710,904.530,1104.740
25/06/2018 - 14:28,301,1.290,62.850,36.590,37.350,904.520,1104.730
25/06/2018 - 14:28,296,1.260,62.800,36.720,37.010,904.460,1104.650
25/06/2018 - 14:29,306,1.280,62.780,36.640,36.850,904.540,1104.750
25/06/2018 - 14:29,305,1.330,62.830,36.610,37.050,904.460,1104.640
25/06/2018 - 14:30,305,1.420,62.900,36.700,37.050,904.460,1104.650
25/06/2018 - 14:30,311,1.380,62.910,36.650,36.950,904.500,1104.700
25/06/2018 - 14:31,311,1.410,62.900,36.690,37.050,904.530,1104.730
25/06/2018 - 14:31,314,1.420,62.890,36.830,36.940,904.520,1104.720
25/06/2018 - 14:32,263,1.410,62.890,36.560,37.270,904.550,1104.760
25/06/2018 - 14:32,278,1.430,62.920,36.180,37.450,904.450,1104.630
25/06/2018 - 14:33,282,1.370,62.940,36.220,37.500,904.510,1104.710
25/06/2018 - 14:33,295,1.400,62.930,36.380,37.720,904.510,1104.710
25/06/2018 - 14:34,304,1.470,62.990,35.900,37.850,904.470,1104.660
25/06/2018 - 14:34,312,1.320,62.980,35.990,37.820,904.480,1104.670
25/06/2018 - 14:35,302,1.330,62.950,36.180,37.430,904.520,1104.720
25/06/2018 - 14:35,300,1.390,62.940,36.470,37.040,904.460,1104.640
25/06/2018 - 14:36,300,1.400,62.960,36.520,36.920,904.450,1104.640
25/06/2018 - 14:36,296,1.390,62.930,36.540,36.820,904.510,1104.710
25/06/2018 - 14:37,346,1.320,62.920,36.510,36.730,904.500,1104.700
25/06/2018 - 14:37,330,1.320,62.890,36.330,37.040,904.440,1104.620
25/06/2018 - 14:38,318,1.270,62.880,36.160,37.270,904.420,1104.600
25/06/2018 - 14:38,314,1.280,62.860,36.250,37.660,904.450,1104.640
25/06/2018 - 14:39,293,1.280,62.870,36.240,37.690,904.450,1104.630
25/06/2018 - 14:39,293,1.290,62.910,35.630,37.700,904.430,1104.610
25/06/2018 - 14:40,306,1.310,62.890,36.060,37.550,904.420,1104.600
25/06/2018 - 14:40,305,1.340,62.890,36.380,37.350,904.430,1104.610
25/06/2018 - 14:41,298,1.320,62.870,36.330,37.350,904.430,1104.610
25/06/2018 - 14:41,298,1.250,62.860,36.570,37.110,904.370,1104.540
25/06/2018 - 14:42,304,1.310,62.840,36.640,36.870,904.310,1104.460
25/06/2018 - 14:42,299,1.330,62.830,36.810,36.690,904.320,1104.470
25/06/2018 - 14:43,303,1.260,62.830,36.430,36.900,904.290,1104.450
25/06/2018 - 14:43,299,1.300,62.830,36.200,37.590,904.380,1104.560
25/06/2018 - 14:44,288,1.290,62.800,36.500,37.450,904.380,1104.550
25/06/2018 - 14:44,295,1.290,62.770,36.430,37.400,904.420,1104.600
25/06/2018 - 14:45,296,1.270,62.770,36.630,37.280,904.310,1104.460
25/06/2018 - 14:45,292,1.260,62.760,36.830,36.770,904.290,1104.440
25/06/2018 - 14:46,301,1.280,62.710,36.620,36.770,904.270,1104.420
25/06/2018 - 14:46,300,1.290,62.690,36.810,36.620,904.280,1104.430
25/06/2018 - 14:47,310,1.270,62.690,36.880,36.480,904.220,1104.350
25/06/2018 - 14:47,309,1.270,62.710,36.460,37.090,904.270,1104.410
25/06/2018 - 14:48,309,1.290,62.690,36.740,37.010,904.280,1104.420
25/06/2018 - 14:48,307,1.280,62.700,36.460,37.230,904.230,1104.360
25/06/2018 - 14:49,306,1.350,62.680,36.590,37.280,904.250,1104.400
25/06/2018 - 14:49,301,1.390,62.770,36.080,37.690,904.220,1104.350
25/06/2018 - 14:50,305,1.400,62.910,36.440,37.680,904.200,1104.330
25/06/2018 - 14:50,297,1.330,62.880,36.640,37.370,904.200,1104.330
25/06/2018 - 14:51,310,1.350,62.850,36.600,37.130,904.190,1104.320
25/06/2018 - 14:51,300,1.330,62.820,36.680,37.080,904.200,1104.330
25/06/2018 - 14:52,309,1.400,62.830,36.770,36.960,904.170,1104.300
25/06/2018 - 14:53,299,1.360,62.840,36.960,36.840,904.220,1104.360
25/06/2018 - 14:53,301,1.350,62.810,36.990,36.670,904.250,1104.390
